timestamp_utc,market_slug,side,price,size,total_usd
2026-03-14 12:53:13 UTC,eth-updown-5m-1773492600,BUY,0.74,5.067565,3.75
2026-03-14 12:53:13 UTC,eth-updown-5m-1773492600,BUY,0.749646,16.0876,12.06
2026-03-14 12:53:11 UTC,eth-updown-5m-1773492600,BUY,0.71488,17.695275,12.65
2026-03-14 12:53:11 UTC,eth-updown-5m-1773492600,BUY,0.74,5.0,3.7
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.68,9.338234,6.35
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.68,5.75,3.91
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.68,7.264703,4.94
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.68,28.705881,19.52
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.649408,7.606922,4.94
2026-03-14 12:53:09 UTC,eth-updown-5m-1773492600,BUY,0.64,9.546875,6.11
2026-03-14 12:52:55 UTC,eth-updown-5m-1773492600,BUY,0.51,6.80392,3.47
2026-03-14 12:52:55 UTC,eth-updown-5m-1773492600,BUY,0.516871,10.19596,5.27
